item_id,field,locale,global_text,current_text,translated_text,status
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,bg,Practice addition with numbers up to 20.,Научете се да събирате със суми от 11 до 20.,Тренирайте събиране с числа до 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,de,Addition 11-20,Addition 11-20,Ergänzung 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,ar,Practice addition with numbers up to 20.,تعلم الجمع بمجاميع تتراوح بين 11 و 20.,تدرب على الجمع مع الأعداد حتى 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,en,Practice addition with numbers up to 20.,Learn addition with sums from 11 to 20.,Practice addition with numbers up to 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,bg,Addition 11-20,Събиране 11-20,Добавяне 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,ar,Addition 11-20,الجمع 11-20,الإضافة 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,da,Addition 11-20,Addition 11-20,Tilføjelse 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,de,Practice addition with numbers up to 20.,Lernen Sie die Addition mit Summen von 11 bis 20.,Üben Sie das Addieren mit Zahlen bis 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,es,Practice addition with numbers up to 20.,Aprende a sumar con resultados de 11 a 20.,Practica la suma con números hasta el 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,cs,Addition 11-20,Sčítání 11-20,Přídavek 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,da,Practice addition with numbers up to 20.,Lær addition med summer fra 11 til 20.,Øv addition med tal op til 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,el,Addition 11-20,Πρόσθεση 11-20,Προσθήκη 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,et,Addition 11-20,Liitmine 11-20,Lisa 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,fi,Addition 11-20,Yhteenlasku 11-20,Lisäys 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,cs,Practice addition with numbers up to 20.,Naučte se sčítat s výsledky od 11 do 20.,Procvičte si sčítání s čísly do 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,el,Practice addition with numbers up to 20.,Μάθετε την πρόσθεση με αθροίσματα από 11 έως 20.,Εξασκηθείτε στην πρόσθεση με αριθμούς έως το 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,fr,Practice addition with numbers up to 20.,Apprenez l'addition avec des sommes de 11 à 20.,Pratiquez l'addition avec des nombres jusqu'à 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,hr,Practice addition with numbers up to 20.,Naučite zbrajanje sa sumama od 11 do 20.,Vježbajte zbrajanje s brojevima do 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,hi,Practice addition with numbers up to 20.,11 से 20 तक के योग के साथ जोड़ना सीखें।,20 तक की संख्याओं के साथ जोड़ का अभ्यास करें।,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,fr,Addition 11-20,Addition 11-20,Ajout 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,et,Practice addition with numbers up to 20.,Õppige liitmist summadega 11-st 20-ni.,Harjutage liitmist numbritega kuni 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,fi,Practice addition with numbers up to 20.,Opi laskemaan yhteen summiin 11-20.,Harjoittele yhteenlaskua numeroilla 20 asti.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,ga,Practice addition with numbers up to 20.,Foghlaim suimiú le suimeanna ó 11 go 20.,Cleachtaigh suimiú le huimhreacha suas go dtí 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,id,Addition 11-20,Penjumlahan 11-20,Tambahan 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,id,Practice addition with numbers up to 20.,Belajar penjumlahan dengan hasil dari 11 hingga 20.,Berlatih penjumlahan dengan angka hingga 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,hu,Practice addition with numbers up to 20.,Tanulja meg az összeadást 11-től 20-ig terjedő összegekkel.,Gyakorold az összeadást számokkal 20-ig.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,hu,Addition 11-20,Összeadás 11-20,Kiegészítés 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,it,Practice addition with numbers up to 20.,Impara l'addizione con somme da 11 a 20.,Esercitati con le addizioni con i numeri fino a 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,ja,Addition 11-20,足し算 11-20,追加 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,it,Addition 11-20,Addizione 11-20,Aggiunta 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,nl,Addition 11-20,Optellen 11-20,Toevoeging 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,ja,Practice addition with numbers up to 20.,11 から 20 までの合計の足し算を学びましょう。,20までの数字の足し算の練習をしましょう。,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,mt,Addition 11-20,Addizzjoni 11-20,Żieda 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,lt,Addition 11-20,Sudėtis 11-20,Papildymas 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,lv,Addition 11-20,Saskaitīšana 11-20,Papildinājums 11.-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,mt,Practice addition with numbers up to 20.,Tgħallem iż-żieda b'somom minn 11 sa 20.,Ipprattika ż-żieda b'numri sa 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,ko,Addition 11-20,덧셈 11-20,추가 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,lt,Practice addition with numbers up to 20.,Išmokite sudėtį su sumomis nuo 11 iki 20.,Praktikuokite sudėjimą su skaičiais iki 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,lv,Practice addition with numbers up to 20.,Apgūstiet saskaitīšanu ar summām no 11 līdz 20.,Praktizējiet saskaitīšanu ar skaitļiem līdz 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,ko,Practice addition with numbers up to 20.,합계가 11에서 20 사이인 덧셈을 배워보세요.,20까지의 숫자로 덧셈을 연습하세요.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,ro,Practice addition with numbers up to 20.,Învățați adunarea cu sume de la 11 la 20.,Exersați adunarea cu numere până la 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,sk,Addition 11-20,Sčítanie 11-20,Prídavok 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,pt,Practice addition with numbers up to 20.,Aprenda a somar com resultados de 11 a 20.,Pratique adição com números até 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,nl,Practice addition with numbers up to 20.,Leer optellen met uitkomsten van 11 tot 20.,Oefen het optellen met getallen tot en met 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,ro,Addition 11-20,Adunare 11-20,Adaosul 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,pl,Addition 11-20,Dodawanie 11-20,Dodatek 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,pl,Practice addition with numbers up to 20.,Naucz się dodawania z wynikami od 11 do 20.,Ćwicz dodawanie z liczbami do 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,sk,Practice addition with numbers up to 20.,Naučte sa sčítavať s výsledkami od 11 do 20.,Precvičte si sčítanie s číslami do 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,sv,Addition 11-20,Addition 11-20,Tillägg 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,sl,Practice addition with numbers up to 20.,Naučite se seštevati z rezultati od 11 do 20.,Vadite seštevanje s števili do 20.,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,name,sl,Addition 11-20,Seštevanje 11-20,Dodatek 11-20,mismatch
SUBJ:5e81da1f-f92c-44d2-b3cd-f921d05425df,description,sv,Practice addition with numbers up to 20.,Lär dig addition med summor från 11 till 20.,Öva addition med nummer upp till 20.,mismatch
