status,subject_name,language,card_id,answer,voice,fallback_voice,r2_key,public_url,error
matched,Arabic Alphabet,Arabic,2860771e-fc08-40d7-8786-02a6958d48e8,ا,ar,,cards/2860771e-fc08-40d7-8786-02a6958d48e8/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/2860771e-fc08-40d7-8786-02a6958d48e8/audio.mp3,
matched,Bulgarian Alphabet,Bulgarian,6390fac7-8537-40ac-bd1b-21edb1f4b61c,А,bg,,cards/6390fac7-8537-40ac-bd1b-21edb1f4b61c/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/6390fac7-8537-40ac-bd1b-21edb1f4b61c/audio.mp3,
matched,Chinese Alphabet,Chinese,43ec5c57-b7da-4577-aabe-221dec377000,ㄅ,cmn,,cards/43ec5c57-b7da-4577-aabe-221dec377000/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/43ec5c57-b7da-4577-aabe-221dec377000/audio.mp3,
matched,Croatian Alphabet,Croatian,a1cc931d-dfb9-44c3-8251-5b6e30291c07,A,hr,,cards/a1cc931d-dfb9-44c3-8251-5b6e30291c07/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/a1cc931d-dfb9-44c3-8251-5b6e30291c07/audio.mp3,
matched,Czech Alphabet,Czech,4daec713-b7c3-478e-a861-1824ed44281f,A,cs,,cards/4daec713-b7c3-478e-a861-1824ed44281f/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/4daec713-b7c3-478e-a861-1824ed44281f/audio.mp3,
matched,Danish Alphabet,Danish,d67523f8-8807-44cd-a7da-27cbb250561e,A,da,,cards/d67523f8-8807-44cd-a7da-27cbb250561e/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/d67523f8-8807-44cd-a7da-27cbb250561e/audio.mp3,
matched,Dutch Alphabet,Dutch,e3a75970-741b-4293-91b5-676207ef72ee,A,nl,,cards/e3a75970-741b-4293-91b5-676207ef72ee/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/e3a75970-741b-4293-91b5-676207ef72ee/audio.mp3,
matched,English Alphabet,English,988a43f1-4b71-478d-ab61-5c16279d6dca,A,en-us,,cards/988a43f1-4b71-478d-ab61-5c16279d6dca/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/988a43f1-4b71-478d-ab61-5c16279d6dca/audio.mp3,
matched,Estonian Alphabet,Estonian,f8d27b05-f409-490e-a8f4-e4d28a60c235,A,et,,cards/f8d27b05-f409-490e-a8f4-e4d28a60c235/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/f8d27b05-f409-490e-a8f4-e4d28a60c235/audio.mp3,
matched,Finnish Alphabet,Finnish,689bddcd-3e47-4bb9-a36d-191a373445c3,A,fi,,cards/689bddcd-3e47-4bb9-a36d-191a373445c3/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/689bddcd-3e47-4bb9-a36d-191a373445c3/audio.mp3,
matched,French Alphabet,French,fb3bcba9-04d7-4715-bd61-ab31ea36e34c,A,fr-fr,,cards/fb3bcba9-04d7-4715-bd61-ab31ea36e34c/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/fb3bcba9-04d7-4715-bd61-ab31ea36e34c/audio.mp3,
matched,German Alphabet,German,4011f406-8aaf-4e3d-99e3-acce52ba8b4e,A,de,,cards/4011f406-8aaf-4e3d-99e3-acce52ba8b4e/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/4011f406-8aaf-4e3d-99e3-acce52ba8b4e/audio.mp3,
matched,Greek Alphabet,Greek,a338a0a2-6f4b-45a4-8b43-de8b4373360a,Α,el,,cards/a338a0a2-6f4b-45a4-8b43-de8b4373360a/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/a338a0a2-6f4b-45a4-8b43-de8b4373360a/audio.mp3,
matched,Hindi Alphabet,Hindi,cacac16f-8581-4b38-a85b-8160de5fffab,अ,hi,,cards/cacac16f-8581-4b38-a85b-8160de5fffab/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/cacac16f-8581-4b38-a85b-8160de5fffab/audio.mp3,
matched,Hungarian Alphabet,Hungarian,62ab97ec-c505-4611-b34b-182e55cb1926,A,hu,,cards/62ab97ec-c505-4611-b34b-182e55cb1926/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/62ab97ec-c505-4611-b34b-182e55cb1926/audio.mp3,
matched,Indonesian Alphabet,Indonesian,13d2c383-d4d0-487b-8895-f0494826a118,A,id,,cards/13d2c383-d4d0-487b-8895-f0494826a118/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/13d2c383-d4d0-487b-8895-f0494826a118/audio.mp3,
matched,Irish Alphabet,Irish,564de4e2-d5a9-49eb-8396-daeaf019be31,A,ga,,cards/564de4e2-d5a9-49eb-8396-daeaf019be31/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/564de4e2-d5a9-49eb-8396-daeaf019be31/audio.mp3,
matched,Italian Alphabet,Italian,ce8288ba-189d-4869-bc59-a11bf14fbff0,A,it,,cards/ce8288ba-189d-4869-bc59-a11bf14fbff0/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/ce8288ba-189d-4869-bc59-a11bf14fbff0/audio.mp3,
matched,Japanese Alphabet,Japanese,99585164-066f-4c09-a374-efcc0099bd2f,あ,ja,,cards/99585164-066f-4c09-a374-efcc0099bd2f/audio.mp3,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/99585164-066f-4c09-a374-efcc0099bd2f/audio.mp3,
