item_id,field,locale,global_text,current_text,translated_text,status
SUBJECT,description,ar,Learn to identify major architectural styles.,تعرف على تصاميم المباني من عصور مختلفة.,تعلم كيفية التعرف على الأنماط المعمارية الرئيسية.,mismatch
SUBJECT,description,da,Learn to identify major architectural styles.,Genkend bygningsdesign fra forskellige epoker.,Lær at identificere store arkitektoniske stilarter.,mismatch
SUBJECT,description,bg,Learn to identify major architectural styles.,Разпознавайте архитектурните стилове от различни епохи.,Научете се да идентифицирате основните архитектурни стилове.,mismatch
SUBJECT,description,cs,Learn to identify major architectural styles.,Poznejte architektonické styly z různých období.,Naučte se identifikovat hlavní architektonické styly.,mismatch
SUBJECT,description,en,Learn to identify major architectural styles.,Recognize building designs from different eras.,Learn to identify major architectural styles.,mismatch
SUBJECT,description,de,Learn to identify major architectural styles.,Erkenne Baustile aus verschiedenen Epochen.,"Lernen Sie, die wichtigsten Architekturstile zu erkennen.",mismatch
SUBJECT,description,el,Learn to identify major architectural styles.,Αναγνωρίστε αρχιτεκτονικά στυλ από διαφορετικές εποχές.,Μάθετε να αναγνωρίζετε τα κύρια αρχιτεκτονικά στυλ.,mismatch
SUBJECT,description,fi,Learn to identify major architectural styles.,Tunnista rakennustyylejä eri aikakausilta.,Opi tunnistamaan tärkeimmät arkkitehtoniset tyylit.,mismatch
SUBJECT,description,et,Learn to identify major architectural styles.,Tunne ära hooneid eri ajastutest.,Õppige tuvastama peamisi arhitektuuristiile.,mismatch
SUBJECT,description,fr,Learn to identify major architectural styles.,Reconnaissez les conceptions de bâtiments de différentes époques.,Apprenez à identifier les principaux styles architecturaux.,mismatch
SUBJECT,description,es,Learn to identify major architectural styles.,Reconoce los diseños de edificios de diferentes épocas.,Aprenda a identificar los principales estilos arquitectónicos.,mismatch
SUBJECT,description,hi,Learn to identify major architectural styles.,विभिन्न युगों के भवन डिजाइनों को पहचानें।,प्रमुख स्थापत्य शैलियों की पहचान करना सीखें।,mismatch
SUBJECT,description,ga,Learn to identify major architectural styles.,Aithin dearaí foirgneamh ó réanna éagsúla.,Foghlaim conas mór-stíleanna ailtireachta a aithint.,mismatch
SUBJECT,name,hi,Architectural Styles,वास्तु शैली,स्थापत्य शैलियाँ,mismatch
SUBJECT,description,hu,Learn to identify major architectural styles.,Ismerd fel a különböző korszakok építészeti stílusait!,Tanuld meg azonosítani a főbb építészeti stílusokat.,mismatch
SUBJECT,description,hr,Learn to identify major architectural styles.,Prepoznajte stilove gradnje iz različitih razdoblja.,Naučite prepoznati glavne arhitektonske stilove.,mismatch
SUBJECT,description,it,Learn to identify major architectural styles.,Riconosci gli stili architettonici di diverse epoche.,Impara a identificare i principali stili architettonici.,mismatch
SUBJECT,description,id,Learn to identify major architectural styles.,Kenali desain bangunan dari berbagai era.,Belajar mengidentifikasi gaya arsitektur utama.,mismatch
SUBJECT,name,ko,Architectural Styles,건축 양식,건축 스타일,mismatch
SUBJECT,description,ja,Learn to identify major architectural styles.,さまざまな時代の建築デザインを認識しましょう。,主要な建築様式を識別する方法を学びます。,mismatch
SUBJECT,description,ko,Learn to identify major architectural styles.,다양한 시대의 건축 양식을 확인해보세요.,주요 건축 스타일을 식별하는 방법을 알아보세요.,mismatch
SUBJECT,description,mt,Learn to identify major architectural styles.,Agħraf disinji ta' bini minn erajiet differenti.,Tgħallem tidentifika stili arkitettoniċi ewlenin.,mismatch
SUBJECT,description,lv,Learn to identify major architectural styles.,Atpazīstiet ēku dizainus no dažādiem laikmetiem.,Iemācieties atpazīt galvenos arhitektūras stilus.,mismatch
SUBJECT,description,lt,Learn to identify major architectural styles.,Atpažinkite pastatų dizainus iš skirtingų epochų.,Išmokite atpažinti pagrindinius architektūros stilius.,mismatch
SUBJECT,name,nl,Architectural Styles,Architectuurstijlen,Architecturale stijlen,mismatch
SUBJECT,description,pt,Learn to identify major architectural styles.,Reconheça estilos arquitetônicos de diferentes épocas.,Aprenda a identificar os principais estilos arquitetônicos.,mismatch
SUBJECT,description,pl,Learn to identify major architectural styles.,Rozpoznawaj style architektoniczne z różnych epok.,Naucz się rozpoznawać główne style architektoniczne.,mismatch
SUBJECT,description,nl,Learn to identify major architectural styles.,Herken bouwstijlen uit verschillende tijdperken.,Leer de belangrijkste architecturale stijlen te identificeren.,mismatch
SUBJECT,description,ro,Learn to identify major architectural styles.,Recunoaște stilurile arhitecturale din diferite epoci.,Învață să identifici stilurile arhitecturale majore.,mismatch
SUBJECT,description,sk,Learn to identify major architectural styles.,Spoznajte architektonické štýly z rôznych období.,Naučte sa identifikovať hlavné architektonické štýly.,mismatch
SUBJECT,description,sl,Learn to identify major architectural styles.,Prepoznajte arhitekturne sloge iz različnih obdobij.,Naučite se prepoznati glavne arhitekturne sloge.,mismatch
SUBJECT,name,tl,Architectural Styles,Mga Estilong Arkitektural,Mga Estilo ng Arkitektural,mismatch
SUBJECT,description,tl,Learn to identify major architectural styles.,Kilalanin ang mga disenyo ng gusali mula sa iba't ibang panahon.,Matutong kilalanin ang mga pangunahing istilo ng arkitektura.,mismatch
SUBJECT,description,sv,Learn to identify major architectural styles.,Känn igen byggnadsstilar från olika epoker.,Lär dig att identifiera stora arkitektoniska stilar.,mismatch
SUBJECT,description,uk,Learn to identify major architectural styles.,Впізнавайте архітектурні стилі різних епох.,Навчитись визначати основні архітектурні стилі.,mismatch
SUBJECT,name,vi,Architectural Styles,Phong cách kiến trúc,Phong cách kiến ​​trúc,mismatch
SUBJECT,description,tr,Learn to identify major architectural styles.,Farklı dönemlerin mimari tasarımlarını tanıyın.,Başlıca mimari tarzları tanımlamayı öğrenin.,mismatch
SUBJECT,description,vi,Learn to identify major architectural styles.,Nhận biết các thiết kế tòa nhà từ những thời đại khác nhau.,Tìm hiểu để xác định phong cách kiến ​​trúc lớn.,mismatch
ece67cd8-622e-4fe3-8c8a-20165e064f9c,answer,sv,Vernacular Architecture,Vernacular arkitektur,Folkspråksarkitektur,mismatch
5563402e-a357-4e81-ba3d-4b065e553cbc,answer,nl,Renaissance Architectural Styles,Renaissance-architectonische stijlen,Architecturale stijlen uit de Renaissance,mismatch
b6e8fea5-0d7c-4fce-a057-e684c5720d47,answer,tl,Greek Revival Architecture,Arkitektura ng Greek Revival,Arkitekturang Revival ng Greek,mismatch
8221e6e1-257c-4eac-b668-bcdc7f879122,answer,tl,Gothic Architectural Styles,Mga Estilo ng Arkitektural ng Gothic,Mga Estilo ng Arkitektural na Gothic,mismatch
72122762-8bbd-4c56-8f0b-949e46d7fdf5,answer,sl,Tudor Architecture,Tudorjeva arhitektura,Tudorska arhitektura,mismatch
71f1a341-1317-470d-acca-ccff2b87d0bc,answer,lt,Italiante Architecture,Italijos architektūra,italų architektūra,mismatch
71f1a341-1317-470d-acca-ccff2b87d0bc,answer,ro,Italiante Architecture,Arhitectura Italiana,Arhitectura Italiană,mismatch
5d20d0eb-349a-4dcd-8a5c-28025a3ac702,answer,el,Deconstructivism Architectural Styles,Deconstructivism Αρχιτεκτονικά Στυλ,Deconstructivism Architectural Styles,mismatch
5d20d0eb-349a-4dcd-8a5c-28025a3ac702,answer,et,Deconstructivism Architectural Styles,Dekonstruktivismi arhitektuuristiilid,Dekonstruktivismi arhitektuurilised stiilid,mismatch
ba1cc2fd-74b1-4ea5-acec-bb07b8fb0669,answer,el,Beaux-Art Architecture,Αρχιτεκτονική Beaux-Art,Beaux-Art Architecture,mismatch
ba1cc2fd-74b1-4ea5-acec-bb07b8fb0669,answer,ro,Beaux-Art Architecture,Arhitectură Beaux-Art,Arhitectura Beaux-Art,mismatch
