card_id,field,locale,global_text,current_text,translated_text,status
SUBJECT,subject_name,ar,Most Colorful Insects,أكثر الحشرات ملونة,أكثر الحشرات الملونة,mismatch
SUBJECT,subject_name,de,Most Colorful Insects,Farbenfrohste Insekten,Die buntesten Insekten,mismatch
SUBJECT,subject_name,el,Most Colorful Insects,Τα πιο χρωματιστά έντομα,Τα πιο πολύχρωμα έντομα,mismatch
SUBJECT,subject_name,da,Most Colorful Insects,De mest farverige insekter,Mest farverige insekter,mismatch
SUBJECT,subject_name,fi,Most Colorful Insects,Värikриkkaimmat hyönteiset,Värikkäimmät hyönteiset,mismatch
SUBJECT,subject_name,et,Most Colorful Insects,Kõige värvilisemad putukad,Kõige värvikamad putukad,mismatch
SUBJECT,subject_name,hr,Most Colorful Insects,Najšareniji kukci,Najšareniji insekti,mismatch
SUBJECT,subject_name,ga,Most Colorful Insects,Na feithidí is ildaite,Feithidí is Dathúla,mismatch
SUBJECT,subject_name,fr,Most Colorful Insects,Insectes les plus colorés,Les insectes les plus colorés,mismatch
SUBJECT,subject_name,id,Most Colorful Insects,Serangga Paling Berwarna-warni,Serangga Paling Berwarna,mismatch
SUBJECT,subject_name,ko,Most Colorful Insects,가장 화려한 곤충,가장 다채로운 곤충,mismatch
SUBJECT,subject_name,it,Most Colorful Insects,Insetti più colorati,Gli insetti più colorati,mismatch
SUBJECT,subject_name,mt,Most Colorful Insects,L-aktar insetti kkuluriti,Ħafna Insetti Colorful,mismatch
SUBJECT,subject_name,pt,Most Colorful Insects,Insetos mais coloridos,Os insetos mais coloridos,mismatch
SUBJECT,subject_name,sv,Most Colorful Insects,De mest färgstarka insekterna,Mest färgglada insekter,mismatch
SUBJECT,subject_name,uk,Most Colorful Insects,Найяскравіші комахи,Найбільш барвисті комахи,mismatch
SUBJECT,subject_name,tl,Most Colorful Insects,Pinakamakulay na Insekto,Pinaka Makukulay na Insekto,mismatch
SUBJECT,subject_name,vi,Most Colorful Insects,Những loài côn trùng sặc sỡ nhất,Côn trùng nhiều màu sắc nhất,mismatch
e5feddb8-d0c0-47e4-bb90-ec8a6ce34050,answer,mt,Leaf-Footed Bug,Bug Saqajh Weraq,Bug bis-saqajn tal-werqa,mismatch
e5feddb8-d0c0-47e4-bb90-ec8a6ce34050,answer,tl,Leaf-Footed Bug,Bug na may Leaf Footed,Bug na may Dahon,mismatch
b0701193-bc08-4185-b819-a2c2527b4286,answer,vi,Madagascan Moon Moth,Bướm mặt trăng Madagascan,Bướm đêm mặt trăng Madagascan,mismatch
d190698c-8c33-4a36-a6ce-a3e801cc8b9a,answer,nl,Malay Lacewing,Maleisische gaasvlieg,Maleise gaasvlieg,mismatch
0873bbd1-2018-4d45-b5e8-dfd30b982bda,answer,ko,Neon Cuckoo Bee,네온 뻐꾸기 벌,네온 뻐꾸기벌,mismatch
705f8af4-c8be-4867-bc1a-9b00d7dfe7fd,answer,ro,Pink Orchid Mantis,Manta Orhideea Roz,Mantis Orhidee Roz,mismatch
