card_id,field,locale,old_value,new_value
d0b71ccb-0d77-42ca-9a91-be9cf42fb1e0,prompt,ga,,Comhair na rudaí:
d0b71ccb-0d77-42ca-9a91-be9cf42fb1e0,answer,ga,,4
4658c6aa-aad7-4965-bed8-ecba12be6f8b,prompt,ga,,Comhair na rudaí:
4658c6aa-aad7-4965-bed8-ecba12be6f8b,answer,ga,,7
b80dc723-c8ff-448b-af1b-ceaf8f3e1153,prompt,ga,,Comhair na rudaí:
b80dc723-c8ff-448b-af1b-ceaf8f3e1153,answer,ga,,6
4b628fa8-ef0a-41cb-81d9-9d76fa07b144,prompt,ga,,Comhair na rudaí:
4b628fa8-ef0a-41cb-81d9-9d76fa07b144,answer,ga,,1
502a0350-49a5-4616-853d-a92228f6251b,prompt,ga,,Comhair na rudaí:
502a0350-49a5-4616-853d-a92228f6251b,answer,ga,,8
8c9b37f5-ed03-4a1b-a30f-61885f1e84a4,prompt,ga,,Comhair na rudaí:
8c9b37f5-ed03-4a1b-a30f-61885f1e84a4,answer,ga,,2
aa978f38-d7f6-4182-bea7-d9a9c05f7106,prompt,ga,,Comhair na rudaí:
aa978f38-d7f6-4182-bea7-d9a9c05f7106,answer,ga,,5
e0665978-b740-4a48-b63d-b465231bbd03,prompt,ga,,Comhair na rudaí:
e0665978-b740-4a48-b63d-b465231bbd03,answer,ga,,9
c669f663-1a26-4236-9e3a-9ba2f3c33092,prompt,ga,,Comhair na rudaí:
c669f663-1a26-4236-9e3a-9ba2f3c33092,answer,ga,,10
da4e2e4d-cfb4-4f54-a91d-b19bd87aeb70,prompt,ga,,Comhair na rudaí:
da4e2e4d-cfb4-4f54-a91d-b19bd87aeb70,answer,ga,,3
b64e1e2a-6938-467a-a06b-e3f626ce6955,prompt,ga,,Comhair na rudaí:
