card_id,field,locale,global_text,current_text,translated_text,status
SUBJECT,subject_name,cs,Counting,Počítání,Počítací,mismatch
SUBJECT,subject_name,ar,Counting,العد,عد,mismatch
SUBJECT,subject_name,el,Counting,Μέτρηση,Αρίθμηση,mismatch
SUBJECT,subject_name,es,Counting,Contar,Cálculo,mismatch
SUBJECT,subject_name,fr,Counting,Comptage,Compte,mismatch
SUBJECT,subject_name,id,Counting,Menghitung,Perhitungan,mismatch
SUBJECT,subject_name,ko,Counting,계수하기,계산,mismatch
SUBJECT,subject_name,ga,Counting,Comhaireamh,Ag comhaireamh,mismatch
SUBJECT,subject_name,pl,Counting,Liczenie,Rachunkowość,mismatch
SUBJECT,subject_name,ja,Counting,数え方,数える,mismatch
SUBJECT,subject_name,pt,Counting,Contagem,Contando,mismatch
SUBJECT,subject_name,sv,Counting,Räkna,Räkning,mismatch
SUBJECT,subject_name,tl,Counting,Pagbilang,Nagbibilang,mismatch
SUBJECT,subject_name,ro,Counting,Numărare,Numărând,mismatch
d0b71ccb-0d77-42ca-9a91-be9cf42fb1e0,answer,ar,4,٤,4,mismatch
SUBJECT,subject_name,uk,Counting,Лічба,Підрахунок,mismatch
d0b71ccb-0d77-42ca-9a91-be9cf42fb1e0,answer,hi,4,४,4,mismatch
d0b71ccb-0d77-42ca-9a91-be9cf42fb1e0,answer,ko,4,사,4,mismatch
d0b71ccb-0d77-42ca-9a91-be9cf42fb1e0,answer,ja,4,四,4,mismatch
d0b71ccb-0d77-42ca-9a91-be9cf42fb1e0,prompt,cs,Count the objects:,Spočítej objekty:,Spočítejte předměty:,mismatch
d0b71ccb-0d77-42ca-9a91-be9cf42fb1e0,prompt,ar,Count the objects:,عد الأشياء:,عد الكائنات:,mismatch
d0b71ccb-0d77-42ca-9a91-be9cf42fb1e0,prompt,bg,Count the objects:,Преброй обектите:,Пребройте обектите:,mismatch
d0b71ccb-0d77-42ca-9a91-be9cf42fb1e0,prompt,et,Count the objects:,Loenda objekte:,Loendage objekte:,mismatch
