status,card_id,answer,deleted_objects,removed_audios,cleared_audio,error
updated,001a1c8f-2da6-4047-bfc8-c004ecff4c7b,F,cards/001a1c8f-2da6-4047-bfc8-c004ecff4c7b/audio.mp3,,yes,
updated,0130afbd-eed4-4fde-a65c-5aab617a0b6d,Ó,cards/0130afbd-eed4-4fde-a65c-5aab617a0b6d/audio.mp3,,yes,
updated,01534c38-ed07-400a-aa93-404ff101022c,20,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/ga/audio_num_20_ga.mp3,ga,,
updated,0156a9a7-282c-4d1c-bd75-d79be55c6945,À,cards/0156a9a7-282c-4d1c-bd75-d79be55c6945/audio.mp3,,yes,
updated,018b3e8c-103b-4405-a8ad-1284ce73d906,K,cards/018b3e8c-103b-4405-a8ad-1284ce73d906/audio.mp3,,yes,
updated,01975c49-d679-4802-9942-457bf2975c02,F,cards/01975c49-d679-4802-9942-457bf2975c02/audio.mp3,,yes,
updated,021eb721-7fbe-4a56-a5f7-a918c69245fe,れ,cards/021eb721-7fbe-4a56-a5f7-a918c69245fe/audio.mp3,,yes,
updated,022125ab-3bcc-4e48-9602-50419d4c0f0e,Y,cards/022125ab-3bcc-4e48-9602-50419d4c0f0e/global_1776615747174.mp3,,yes,
updated,02bee626-59f7-4176-b39d-384840473eec,B,cards/02bee626-59f7-4176-b39d-384840473eec/global_1776615644982.mp3,,yes,
updated,0305bb24-b3ce-4a2a-ad08-0d804ec1f249,Р,cards/0305bb24-b3ce-4a2a-ad08-0d804ec1f249/global_1776614913267.mp3,,yes,
updated,0364625d-f8dd-4ab5-8f36-2ccd45d83db5,Ρ,cards/0364625d-f8dd-4ab5-8f36-2ccd45d83db5/audio.mp3,,yes,
updated,047c3f79-db1f-472e-b3c0-f34e732355d8,D,cards/047c3f79-db1f-472e-b3c0-f34e732355d8/audio.mp3,,yes,
updated,0489dd28-262a-4234-99f7-44502b16d8cc,М,cards/0489dd28-262a-4234-99f7-44502b16d8cc/global_1776614895751.mp3,,yes,
updated,05f42dcf-0054-4630-8a13-fd5c61704d74,B,cards/05f42dcf-0054-4630-8a13-fd5c61704d74/global_1776615142428.mp3,,yes,
updated,06938578-0920-43b3-b568-687281c79877,N,cards/06938578-0920-43b3-b568-687281c79877/audio.mp3,,yes,
updated,06c84d36-aff8-4490-9a32-fac72b46c783,S,cards/06c84d36-aff8-4490-9a32-fac72b46c783/global_1776615721373.mp3,,yes,
updated,07955d91-81d0-4512-8df3-2d9243139864,Ü,cards/07955d91-81d0-4512-8df3-2d9243139864/audio.mp3,,yes,
updated,08ab57f1-7952-44cc-be0e-3ad04aca396a,ب,cards/08ab57f1-7952-44cc-be0e-3ad04aca396a/global_1776614724793.mp3,,yes,
updated,094b254d-ae7a-42d7-8cc0-f8a5aeb817cc,Ő,cards/094b254d-ae7a-42d7-8cc0-f8a5aeb817cc/audio.mp3,,yes,
updated,097e8d1b-a886-483d-a15d-d0941c7669b7,I,cards/097e8d1b-a886-483d-a15d-d0941c7669b7/audio.mp3,,yes,
updated,0b079644-92a7-4b41-b8e1-e2bc6019d1cc,C,cards/0b079644-92a7-4b41-b8e1-e2bc6019d1cc/audio.mp3,,yes,
updated,0b7acca6-4ef9-44f8-9c7a-47a4757183cf,4,"f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/ga/audio_num_4_ga.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/mt/audio_num_4_mt.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/sl/audio_num_4_sl.mp3","ga,mt,sl",,
updated,0bd9b31b-adf5-4a46-9364-cccb75466e35,H,cards/0bd9b31b-adf5-4a46-9364-cccb75466e35/global_1776615172241.mp3,,yes,
updated,0bf9508b-ec2c-4628-a7f5-d5578c14029a,Ū,cards/0bf9508b-ec2c-4628-a7f5-d5578c14029a/audio.mp3,,yes,
updated,0c9a3de0-192c-4af8-9ff0-23d0e64cb83c,M,cards/0c9a3de0-192c-4af8-9ff0-23d0e64cb83c/global_1776615328261.mp3,,yes,
updated,0cbc3ada-1be7-4ba1-ab92-80fbc1eaf8f9,2,"f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/ga/audio_num_2_ga.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/mt/audio_num_2_mt.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/sl/audio_num_2_sl.mp3","ga,mt,sl",,
updated,0cdc9571-9f6c-42eb-a5c9-5bbbbf70f3fd,よ,cards/0cdc9571-9f6c-42eb-a5c9-5bbbbf70f3fd/audio.mp3,,yes,
updated,0d290b3a-c535-4446-bcbf-0712e23c720e,Δ,cards/0d290b3a-c535-4446-bcbf-0712e23c720e/audio.mp3,,yes,
updated,0d389014-5c03-4e2e-84ba-4d7a8b5d83cf,Σ,cards/0d389014-5c03-4e2e-84ba-4d7a8b5d83cf/audio.mp3,,yes,
updated,0d8a6d28-58ad-4401-bd2c-dffca1603a4b,D,cards/0d8a6d28-58ad-4401-bd2c-dffca1603a4b/global_1776615151016.mp3,,yes,
updated,0dd003d5-c92a-4f5e-8143-db857eadfd8d,Ly,cards/0dd003d5-c92a-4f5e-8143-db857eadfd8d/audio.mp3,,yes,
updated,0e35f6a3-fcac-417a-bc5d-165950ed3619,Q,cards/0e35f6a3-fcac-417a-bc5d-165950ed3619/audio.mp3,,yes,
updated,0e37c631-36c5-4498-b65e-f78356d58aaf,Š,cards/0e37c631-36c5-4498-b65e-f78356d58aaf/global_1776615258941.mp3,,yes,
updated,0e5b3e0d-c32a-4a52-ab92-5a8f18814b4e,Č,cards/0e5b3e0d-c32a-4a52-ab92-5a8f18814b4e/global_1776615597690.mp3,,yes,
updated,0ebe7366-84bd-48d4-a768-e5563947604d,D,cards/0ebe7366-84bd-48d4-a768-e5563947604d/audio.mp3,,yes,
updated,0f1003b1-f541-4088-bc68-f4f05c1a47ab,6,"f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/ga/audio_num_6_ga.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/mt/audio_num_6_mt.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/sl/audio_num_6_sl.mp3","ga,mt,sl",,
updated,0f116b67-5623-441c-bc26-75883e1c3e0a,Z,cards/0f116b67-5623-441c-bc26-75883e1c3e0a/global_1776615241877.mp3,,yes,
updated,0f3d4bc8-5ee9-4e1a-a02b-f6fc1aa7856d,B,cards/0f3d4bc8-5ee9-4e1a-a02b-f6fc1aa7856d/audio.mp3,,yes,
updated,0f8c429b-395e-4985-a7de-61f68a596cc4,ح,cards/0f8c429b-395e-4985-a7de-61f68a596cc4/global_1776614742574.mp3,,yes,
updated,0ffe2f52-2cf9-4290-922b-6ce94a97ec67,R,cards/0ffe2f52-2cf9-4290-922b-6ce94a97ec67/audio.mp3,,yes,
updated,1091049b-499a-45b8-b750-b7330c5279a4,N,cards/1091049b-499a-45b8-b750-b7330c5279a4/audio.mp3,,yes,
updated,10eb1b70-1972-424b-9b40-cf0212f66f73,12,"f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/ar/audio_num_12_ar.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/bg/audio_num_12_bg.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/cs/audio_num_12_cs.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/da/audio_num_12_da.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/de/audio_num_12_de.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/el/audio_num_12_el.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/en/audio_num_12_en.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/es/audio_num_12_es.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/et/audio_num_12_et.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/fi/audio_num_12_fi.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/fr/audio_num_12_fr.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/hi/audio_num_12_hi.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/hr/audio_num_12_hr.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/hu/audio_num_12_hu.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/id/audio_num_12_id.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/it/audio_num_12_it.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/ja/audio_num_12_ja.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/ko/audio_num_12_ko.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/lt/audio_num_12_lt.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/lv/audio_num_12_lv.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/nl/audio_num_12_nl.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/pl/audio_num_12_pl.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/pt/audio_num_12_pt.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/ro/audio_num_12_ro.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/sk/audio_num_12_sk.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/sv/audio_num_12_sv.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/tl/audio_num_12_tl.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/tr/audio_num_12_tr.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/uk/audio_num_12_uk.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/vi/audio_num_12_vi.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/zh/audio_num_12_zh.mp3","ar,bg,cs,da,de,el,en,es,et,fi,fr,hi,hr,hu,id,it,ja,ko,lt,lv,nl,pl,pt,ro,sk,sv,tl,tr,uk,vi,zh",,
updated,113ff9d3-6e98-432f-9141-bcfb27af5898,10,"f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/ga/audio_num_10_ga.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/mt/audio_num_10_mt.mp3,f2fb4c9c-169b-447d-b8a6-dce72c4ed5ac/numbers/sl/audio_num_10_sl.mp3","ga,mt,sl",,
