item_id,field,locale,global_text,current_text,translated_text,status
SUBJECT,description,ar,Learn to identify influential historical figures.,تعرف على الأشخاص الذين شكلوا مسار التاريخ.,تعلم كيفية التعرف على الشخصيات التاريخية المؤثرة.,mismatch
SUBJECT,description,bg,Learn to identify influential historical figures.,"Запознайте се с хората, които са оформили хода на историята.",Научете се да идентифицирате влиятелни исторически личности.,mismatch
SUBJECT,description,cs,Learn to identify influential historical figures.,"Seznamte se s lidmi, kteří utvářeli běh dějin.",Naučte se identifikovat vlivné historické postavy.,mismatch
SUBJECT,name,cs,Historical Figures,Historické osobnosti,Historické postavy,mismatch
SUBJECT,name,el,Historical Figures,Ιστορικές προσωπικότητες,Ιστορικά Πρόσωπα,mismatch
SUBJECT,description,en,Learn to identify influential historical figures.,Meet the people who shaped the course of history.,Learn to identify influential historical figures.,mismatch
SUBJECT,name,da,Historical Figures,Historiske skikkelser,Historiske figurer,mismatch
SUBJECT,description,el,Learn to identify influential historical figures.,Γνωρίστε τους ανθρώπους που διαμόρφωσαν την πορεία της ιστορίας.,Μάθετε να αναγνωρίζετε ιστορικές προσωπικότητες με επιρροή.,mismatch
SUBJECT,description,de,Learn to identify influential historical figures.,"Lerne die Menschen kennen, die den Lauf der Geschichte geprägt haben.","Lernen Sie, einflussreiche historische Persönlichkeiten zu identifizieren.",mismatch
SUBJECT,description,da,Learn to identify influential historical figures.,"Mød de mennesker, der har formet historiens gang.",Lær at identificere indflydelsesrige historiske personer.,mismatch
SUBJECT,name,es,Historical Figures,Personajes históricos,Figuras Históricas,mismatch
SUBJECT,description,et,Learn to identify influential historical figures.,"Kohtu inimestega, kes kujundasid ajaloo käiku.",Õppige tuvastama mõjukaid ajaloolisi isikuid.,mismatch
SUBJECT,description,fi,Learn to identify influential historical figures.,"Tapaa ihmiset, jotka muovasivat historian kulkua.",Opi tunnistamaan vaikutusvaltaisia ​​historiallisia henkilöitä.,mismatch
SUBJECT,name,fi,Historical Figures,Historialliset henkilöt,Historiallisia hahmoja,mismatch
SUBJECT,name,et,Historical Figures,Ajaloolised isikud,Ajaloolised tegelased,mismatch
SUBJECT,description,fr,Learn to identify influential historical figures.,Rencontrez les personnes qui ont façonné le cours de l'histoire.,Apprenez à identifier des personnages historiques influents.,mismatch
SUBJECT,description,es,Learn to identify influential historical figures.,Conoce a las personas que dieron forma al curso de la historia.,Aprenda a identificar personajes históricos influyentes.,mismatch
SUBJECT,name,hr,Historical Figures,Povijesne ličnosti,Povijesne osobe,mismatch
SUBJECT,name,ga,Historical Figures,Pearsana stairiúla,Figiúirí Stairiúla,mismatch
SUBJECT,description,hi,Learn to identify influential historical figures.,उन लोगों से मिलें जिन्होंने इतिहास की धारा को आकार दिया।,प्रभावशाली ऐतिहासिक शख्सियतों की पहचान करना सीखें।,mismatch
SUBJECT,description,ga,Learn to identify influential historical figures.,Buail leis na daoine a mhúnlaigh cúrsa na staire.,Foghlaim conas figiúirí stairiúla a bhfuil tionchar acu a aithint.,mismatch
SUBJECT,description,hr,Learn to identify influential historical figures.,Upoznajte ljude koji su oblikovali tijek povijesti.,Naučite prepoznati utjecajne povijesne ličnosti.,mismatch
SUBJECT,name,hu,Historical Figures,Történelmi személyiségek,Történelmi alakok,mismatch
SUBJECT,name,hi,Historical Figures,ऐतिहासिक व्यक्तित्व,ऐतिहासिक शख्सियतें,mismatch
SUBJECT,description,hu,Learn to identify influential historical figures.,"Ismerd meg azokat az embereket, akik megváltoztatták a történelem menetét!",Tanuld meg azonosítani a befolyásos történelmi alakokat.,mismatch
SUBJECT,description,ja,Learn to identify influential historical figures.,歴史の流れを変えた人々に出会いましょう。,影響力のある歴史上の人物を特定する方法を学びます。,mismatch
SUBJECT,name,it,Historical Figures,Personaggi Storici,Figure storiche,mismatch
