card_id,field,locale,old_value,new_value
f005148a-736f-47ec-9736-a8ca0786c348,prompt,ga,,Cuir na rudaí leis:
f005148a-736f-47ec-9736-a8ca0786c348,answer,ga,,6
d422bb4a-d070-4210-9a6f-2f821ae9fbe6,prompt,ga,,Cuir na rudaí leis:
d422bb4a-d070-4210-9a6f-2f821ae9fbe6,answer,ga,,7
40837c6c-e46c-4e65-9a8b-def6626310d3,prompt,ga,,Cuir na rudaí leis:
40837c6c-e46c-4e65-9a8b-def6626310d3,answer,ga,,1
5c7a1dbe-3024-42a4-b7ea-e317d8e86585,prompt,ga,,Cuir na rudaí leis:
5c7a1dbe-3024-42a4-b7ea-e317d8e86585,answer,ga,,8
56465687-cb62-442f-bc86-0ab308d154b9,prompt,ga,,Cuir na rudaí leis:
56465687-cb62-442f-bc86-0ab308d154b9,answer,ga,,2
872e9525-0b8f-455b-8d61-f585e7b69b6f,prompt,ga,,Cuir na rudaí leis:
872e9525-0b8f-455b-8d61-f585e7b69b6f,answer,ga,,9
0b7acca6-4ef9-44f8-9c7a-47a4757183cf,prompt,ga,,Cuir na rudaí leis:
0b7acca6-4ef9-44f8-9c7a-47a4757183cf,answer,ga,,4
fa6178df-dc7c-4c34-a2cc-fe8e9299244f,prompt,ga,,Cuir na rudaí leis:
fa6178df-dc7c-4c34-a2cc-fe8e9299244f,answer,ga,,10
22955d5a-8931-4f7d-a5b5-fe8cb9bf4224,prompt,ga,,Cuir na rudaí leis:
22955d5a-8931-4f7d-a5b5-fe8cb9bf4224,answer,ga,,5
c366a6e0-80ad-466e-832b-fd5d2a991ab6,prompt,ga,,Cuir na rudaí leis:
c366a6e0-80ad-466e-832b-fd5d2a991ab6,answer,ga,,3
bdae5675-af4f-4272-828c-f239289b69fb,prompt,ga,Subtract the objects:,Bain na rudaí:
bdae5675-af4f-4272-828c-f239289b69fb,answer,ga,,1
f6805f32-cebf-4d60-b7d5-e1bab2c7c7b2,prompt,ga,Subtract the objects:,Bain na rudaí:
f6805f32-cebf-4d60-b7d5-e1bab2c7c7b2,answer,ga,,2
e8460b32-b969-418e-aa70-283ae48e6634,prompt,ga,Subtract the objects:,Bain na rudaí:
e8460b32-b969-418e-aa70-283ae48e6634,answer,ga,,3
62214614-35f8-4e57-8be2-a8f836a52e1c,prompt,ga,Subtract the objects:,Bain na rudaí:
62214614-35f8-4e57-8be2-a8f836a52e1c,answer,ga,,4
55ec169b-9547-4879-913a-9b0b8e304869,prompt,ga,Subtract the objects:,Bain na rudaí:
55ec169b-9547-4879-913a-9b0b8e304869,answer,ga,,5
47706100-3ce9-41dc-b4dc-1b749c6faa68,prompt,ga,Subtract the objects:,Bain na rudaí:
47706100-3ce9-41dc-b4dc-1b749c6faa68,answer,ga,,6
d9b44259-4f14-4122-b357-628bdd23bc73,prompt,ga,Subtract the objects:,Bain na rudaí:
d9b44259-4f14-4122-b357-628bdd23bc73,answer,ga,,7
932e1061-d5d7-4e07-8f25-4e85722639fb,prompt,ga,Subtract the objects:,Bain na rudaí:
932e1061-d5d7-4e07-8f25-4e85722639fb,answer,ga,,8
6fff1a00-4d95-4035-a2dc-884a2dad0f79,prompt,ga,Subtract the objects:,Bain na rudaí:
6fff1a00-4d95-4035-a2dc-884a2dad0f79,answer,ga,,9
cc6a598b-d1ab-4152-bc1e-fbfcf75c3cda,prompt,ga,Subtract the objects:,Bain na rudaí:
cc6a598b-d1ab-4152-bc1e-fbfcf75c3cda,answer,ga,,10
d3bc07d4-97ca-4730-9273-0540942bde42,prompt,ga,,Cuir na rudaí leis:
bc5e0d3c-3031-4140-b41b-18251433fea6,prompt,ga,Subtract the objects:,Bain na rudaí:
