card_id,field,locale,old_value,new_value
6011ab16-4b98-4263-b055-78cc755365ad,display_text,ar,,١١
6011ab16-4b98-4263-b055-78cc755365ad,display_text,hi,,११
6011ab16-4b98-4263-b055-78cc755365ad,display_text,ja,,十一
6011ab16-4b98-4263-b055-78cc755365ad,display_text,zh,,十一
6011ab16-4b98-4263-b055-78cc755365ad,display_text,ko,,십일
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,display_text,ar,,١٩
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,display_text,hi,,१९
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,display_text,ja,,十九
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,display_text,zh,,十九
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,display_text,ko,,십구
01534c38-ed07-400a-aa93-404ff101022c,display_text,ar,,٢٠
01534c38-ed07-400a-aa93-404ff101022c,display_text,hi,,२०
01534c38-ed07-400a-aa93-404ff101022c,display_text,ja,,二十
01534c38-ed07-400a-aa93-404ff101022c,display_text,zh,,二十
01534c38-ed07-400a-aa93-404ff101022c,display_text,ko,,이십
14ac9e63-f8dc-47e9-bf2e-3fc3bd9234c3,display_text,ar,,١٣
14ac9e63-f8dc-47e9-bf2e-3fc3bd9234c3,display_text,hi,,१३
14ac9e63-f8dc-47e9-bf2e-3fc3bd9234c3,display_text,ja,,十三
14ac9e63-f8dc-47e9-bf2e-3fc3bd9234c3,display_text,zh,,十三
14ac9e63-f8dc-47e9-bf2e-3fc3bd9234c3,display_text,ko,,십삼
c5b3726c-7818-43d4-9f20-cc5187a912ed,display_text,ar,,١٤
c5b3726c-7818-43d4-9f20-cc5187a912ed,display_text,hi,,१४
c5b3726c-7818-43d4-9f20-cc5187a912ed,display_text,ja,,十四
c5b3726c-7818-43d4-9f20-cc5187a912ed,display_text,zh,,十四
c5b3726c-7818-43d4-9f20-cc5187a912ed,display_text,ko,,십사
8f6d1262-cfba-4740-b7d8-59beb0057051,display_text,ar,,١٢
8f6d1262-cfba-4740-b7d8-59beb0057051,display_text,hi,,१२
8f6d1262-cfba-4740-b7d8-59beb0057051,display_text,ja,,十二
8f6d1262-cfba-4740-b7d8-59beb0057051,display_text,zh,,十二
8f6d1262-cfba-4740-b7d8-59beb0057051,display_text,ko,,십이
a7786b6f-3d70-433b-9c28-501a8e48fd24,display_text,ar,,١٦
a7786b6f-3d70-433b-9c28-501a8e48fd24,display_text,hi,,१६
a7786b6f-3d70-433b-9c28-501a8e48fd24,display_text,ja,,十六
a7786b6f-3d70-433b-9c28-501a8e48fd24,display_text,zh,,十六
a7786b6f-3d70-433b-9c28-501a8e48fd24,display_text,ko,,십육
ca549f80-6185-4070-91eb-97e6846f4ed2,display_text,ar,,١٧
ca549f80-6185-4070-91eb-97e6846f4ed2,display_text,hi,,१७
ca549f80-6185-4070-91eb-97e6846f4ed2,display_text,ja,,十七
ca549f80-6185-4070-91eb-97e6846f4ed2,display_text,zh,,十七
ca549f80-6185-4070-91eb-97e6846f4ed2,display_text,ko,,십칠
113ff9d3-6e98-432f-9141-bcfb27af5898,display_text,ar,,١٠
113ff9d3-6e98-432f-9141-bcfb27af5898,display_text,hi,,१०
113ff9d3-6e98-432f-9141-bcfb27af5898,display_text,ja,,十
113ff9d3-6e98-432f-9141-bcfb27af5898,display_text,zh,,十
113ff9d3-6e98-432f-9141-bcfb27af5898,display_text,ko,,십
58489d4e-46fe-41ac-aa2d-8801b23e3e61,display_text,ar,,٧
58489d4e-46fe-41ac-aa2d-8801b23e3e61,display_text,hi,,७
58489d4e-46fe-41ac-aa2d-8801b23e3e61,display_text,ja,,七
58489d4e-46fe-41ac-aa2d-8801b23e3e61,display_text,zh,,七
58489d4e-46fe-41ac-aa2d-8801b23e3e61,display_text,ko,,칠
cd85b094-1b17-4071-89f7-3892ece52427,display_text,ar,,٨
cd85b094-1b17-4071-89f7-3892ece52427,display_text,hi,,८
cd85b094-1b17-4071-89f7-3892ece52427,display_text,ja,,八
cd85b094-1b17-4071-89f7-3892ece52427,display_text,zh,,八
cd85b094-1b17-4071-89f7-3892ece52427,display_text,ko,,팔
0f1003b1-f541-4088-bc68-f4f05c1a47ab,display_text,ar,,٦
0f1003b1-f541-4088-bc68-f4f05c1a47ab,display_text,hi,,६
0f1003b1-f541-4088-bc68-f4f05c1a47ab,display_text,ja,,六
0f1003b1-f541-4088-bc68-f4f05c1a47ab,display_text,zh,,六
0f1003b1-f541-4088-bc68-f4f05c1a47ab,display_text,ko,,육
12c8903d-3099-4e45-865a-05df47e90fc0,display_text,ar,,١
12c8903d-3099-4e45-865a-05df47e90fc0,display_text,hi,,१
12c8903d-3099-4e45-865a-05df47e90fc0,display_text,ja,,一
12c8903d-3099-4e45-865a-05df47e90fc0,display_text,zh,,一
12c8903d-3099-4e45-865a-05df47e90fc0,display_text,ko,,일
daacfa0e-9c24-4243-8c22-ed25c64893ac,display_text,ar,,٤
daacfa0e-9c24-4243-8c22-ed25c64893ac,display_text,hi,,४
daacfa0e-9c24-4243-8c22-ed25c64893ac,display_text,ja,,四
