card_id,field,locale,global_text,current_text,translated_text,status
SUBJECT,subject_name,hi,Numbers,संख्याएं,नंबर,mismatch
SUBJECT,subject_name,hr,Numbers,Brojevi,Brojke,mismatch
SUBJECT,subject_name,pl,Numbers,Liczby,Takty muzyczne,mismatch
SUBJECT,subject_name,ro,Numbers,Numere,Numerele,mismatch
SUBJECT,subject_name,nl,Numbers,Getallen,Nummers,mismatch
SUBJECT,subject_name,sv,Numbers,Nummer,Tal,mismatch
SUBJECT,subject_name,tl,Numbers,Numero,Mga numero,mismatch
SUBJECT,subject_name,vi,Numbers,Các con số,số,mismatch
6011ab16-4b98-4263-b055-78cc755365ad,prompt,bg,Select the correct number:,Изберете правилното число:,Изберете правилния номер:,mismatch
6011ab16-4b98-4263-b055-78cc755365ad,prompt,de,Select the correct number:,Wählen Sie die richtige Zahl aus:,Wählen Sie die richtige Nummer aus:,mismatch
6011ab16-4b98-4263-b055-78cc755365ad,prompt,da,Select the correct number:,Vælg det rigtige tal:,Vælg det rigtige nummer:,mismatch
6011ab16-4b98-4263-b055-78cc755365ad,prompt,fr,Select the correct number:,Sélectionnez le nombre correct :,Sélectionnez le bon numéro :,mismatch
6011ab16-4b98-4263-b055-78cc755365ad,prompt,hu,Select the correct number:,Válassza ki a helyes számot!,Válassza ki a megfelelő számot:,mismatch
6011ab16-4b98-4263-b055-78cc755365ad,prompt,ko,Select the correct number:,올바른 숫자를 선택하세요:,올바른 번호를 선택하세요:,mismatch
6011ab16-4b98-4263-b055-78cc755365ad,prompt,pl,Select the correct number:,Wybierz poprawną liczbę:,Wybierz właściwy numer:,mismatch
6011ab16-4b98-4263-b055-78cc755365ad,prompt,nl,Select the correct number:,Selecteer het juiste getal:,Selecteer het juiste nummer:,mismatch
6011ab16-4b98-4263-b055-78cc755365ad,prompt,tr,Select the correct number:,Doğru sayıyı seçin:,Doğru numarayı seçin:,mismatch
6011ab16-4b98-4263-b055-78cc755365ad,prompt,uk,Select the correct number:,Оберіть правильне число:,Виберіть правильний номер:,mismatch
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,prompt,bg,Select the correct number:,Изберете правилното число:,Изберете правилния номер:,mismatch
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,prompt,de,Select the correct number:,Wählen Sie die richtige Zahl aus:,Wählen Sie die richtige Nummer aus:,mismatch
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,prompt,hu,Select the correct number:,Válassza ki a helyes számot!,Válassza ki a megfelelő számot:,mismatch
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,prompt,da,Select the correct number:,Vælg det rigtige tal:,Vælg det rigtige nummer:,mismatch
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,prompt,ko,Select the correct number:,올바른 숫자를 선택하세요:,올바른 번호를 선택하세요:,mismatch
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,prompt,fr,Select the correct number:,Sélectionnez le nombre correct :,Sélectionnez le bon numéro :,mismatch
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,prompt,nl,Select the correct number:,Selecteer het juiste getal:,Selecteer het juiste nummer:,mismatch
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,prompt,pl,Select the correct number:,Wybierz poprawną liczbę:,Wybierz właściwy numer:,mismatch
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,prompt,uk,Select the correct number:,Оберіть правильне число:,Виберіть правильний номер:,mismatch
d6e15b5c-4d68-46cf-bce3-0afd463bfda4,prompt,tr,Select the correct number:,Doğru sayıyı seçin:,Doğru numarayı seçin:,mismatch
