card_id,level,raw_heading,answer,source_url,source_alt,content_type,r2_key,public_url,status
9ef85dc3-e5c8-4e8f-b762-280f1376d1fd,1,1. Gobijeu,Gobijeu,https://cdn.shopify.com/s/files/1/0050/8644/5642/products/stringed-instrument_480x480.jpg?v=1678657013,Gobijeu Instrument red dot painted,image/jpeg,cards/9ef85dc3-e5c8-4e8f-b762-280f1376d1fd/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/9ef85dc3-e5c8-4e8f-b762-280f1376d1fd/global_1776362753221.jpg,imported
3c952732-e8d1-4142-9673-56a25d5a779d,1,2. Erhu,Erhu,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Erhu_480x480.jpg?v=1631549909,Erhu,image/jpeg,cards/3c952732-e8d1-4142-9673-56a25d5a779d/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/3c952732-e8d1-4142-9673-56a25d5a779d/global_1776362753221.jpg,imported
a0eb0a52-c8cf-4c72-a92e-89915c764a3c,1,3. Tarka flute,Tarka flute,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Peruviantarkaflute_480x480.png?v=1710780163,,image/png,cards/a0eb0a52-c8cf-4c72-a92e-89915c764a3c/global_1776362753221.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/a0eb0a52-c8cf-4c72-a92e-89915c764a3c/global_1776362753221.png,imported
1c51f48d-10da-4a1e-a34b-82f7d340507c,1,4. Shime daiko,Shime daiko,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Shime_daiko_480x480.jpg?v=1631552448,Shime daiko,image/jpeg,cards/1c51f48d-10da-4a1e-a34b-82f7d340507c/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/1c51f48d-10da-4a1e-a34b-82f7d340507c/global_1776362753221.jpg,imported
799f05b4-706e-4c25-833f-376f4cf91903,1,5. Indian Bulb Horn,Indian Bulb Horn,https://cdn.shopify.com/s/files/1/0050/8644/5642/products/Indian-retro-brass-honky-horn_480x480.webp?v=1672167168,Brass and natural rubber vintage horn from india,image/jpeg,cards/799f05b4-706e-4c25-833f-376f4cf91903/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/799f05b4-706e-4c25-833f-376f4cf91903/global_1776362753221.jpg,imported
03616a16-041f-4522-b0f9-1456485673c5,1,6. Dizi,Dizi,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Dizi_480x480.jpg?v=1631550079,Dizi,image/jpeg,cards/03616a16-041f-4522-b0f9-1456485673c5/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/03616a16-041f-4522-b0f9-1456485673c5/global_1776362753221.jpg,imported
eedcf3ba-6fc9-4408-9d51-7a8f822403c4,1,7. Ruan,Ruan,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Ruan_480x480.jpg?v=1631550148,Ruan,image/jpeg,cards/eedcf3ba-6fc9-4408-9d51-7a8f822403c4/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/eedcf3ba-6fc9-4408-9d51-7a8f822403c4/global_1776362753221.jpg,imported
29ec3783-936f-4f2c-b47b-32921177f56c,1,8. Rindik Bunga Xylophone,Rindik Bunga Xylophone,https://cdn.shopify.com/s/files/1/0050/8644/5642/products/4-note-wooden-xylophone-from-indonesia_480x480.webp?v=1672603495,floral xylophone musical instrument with beater,image/jpeg,cards/29ec3783-936f-4f2c-b47b-32921177f56c/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/29ec3783-936f-4f2c-b47b-32921177f56c/global_1776362753221.jpg,imported
e5246398-22ea-40ca-ae8c-8a13f8440363,1,9. Ocarina Pendant,Ocarina Pendant,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/ocarina_oendant_480x480.jpg?v=1709725966,Hand Painted Clay Ocarina Pendant,image/jpeg,cards/e5246398-22ea-40ca-ae8c-8a13f8440363/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/e5246398-22ea-40ca-ae8c-8a13f8440363/global_1776362753221.jpg,imported
f90cb320-5612-47a1-81db-e54b60719eaa,1,10. Koto,Koto,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Koto_480x480.jpg?v=1631551860,Koto,image/jpeg,cards/f90cb320-5612-47a1-81db-e54b60719eaa/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/f90cb320-5612-47a1-81db-e54b60719eaa/global_1776362753221.jpg,imported
